iteration	evaluations	runtime[s]	Cuenta_de_+[MAX]	Valor_objetivo-MIN[MIN]
268	6700	0.375	3	18
268	6700	0.375	2	0
269	6725	0.376	5	98
269	6725	0.376	3	18
269	6725	0.376	2	0
270	6750	0.378	5	98
270	6750	0.378	3	18
270	6750	0.378	2	0
271	6775	0.379	5	98
271	6775	0.379	3	18
271	6775	0.379	2	0
272	6800	0.381	5	98
272	6800	0.381	3	18
272	6800	0.381	2	0
273	6825	0.383	5	98
273	6825	0.383	3	18
273	6825	0.383	2	0
274	6850	0.384	5	98
274	6850	0.384	3	18
274	6850	0.384	2	0
275	6875	0.385	5	98
275	6875	0.385	3	18
275	6875	0.385	2	0
276	6900	0.386	5	98
276	6900	0.386	3	18
276	6900	0.386	2	0
277	6925	0.388	5	98
277	6925	0.388	3	18
277	6925	0.388	2	0
278	6950	0.388	5	98
278	6950	0.388	3	18
278	6950	0.388	2	0
279	6975	0.389	5	98
279	6975	0.389	3	18
279	6975	0.389	2	0
280	7000	0.39	5	98
280	7000	0.39	3	18
280	7000	0.39	2	0
281	7025	0.392	5	98
281	7025	0.392	3	18
281	7025	0.392	2	0
282	7050	0.393	5	98
282	7050	0.393	3	18
282	7050	0.393	2	0
283	7075	0.394	5	98
283	7075	0.394	3	18
283	7075	0.394	2	0
284	7100	0.395	5	98
284	7100	0.395	3	18
284	7100	0.395	2	0
285	7125	0.396	5	98
285	7125	0.396	3	18
285	7125	0.396	2	0
286	7150	0.397	5	98
286	7150	0.397	3	18
286	7150	0.397	2	0
287	7175	0.398	5	98
287	7175	0.398	3	18
287	7175	0.398	2	0
288	7200	0.399	5	98
288	7200	0.399	3	18
288	7200	0.399	2	0
289	7225	0.399	5	98
289	7225	0.399	3	18
289	7225	0.399	2	0
290	7250	0.4	5	98
290	7250	0.4	3	18
290	7250	0.4	2	0
291	7275	0.401	5	98
291	7275	0.401	3	18
291	7275	0.401	2	0
292	7300	0.402	5	98
292	7300	0.402	3	18
292	7300	0.402	2	0
293	7325	0.403	5	98
293	7325	0.403	3	18
293	7325	0.403	2	0
294	7350	0.404	5	98
294	7350	0.404	3	18
294	7350	0.404	2	0
295	7375	0.407	5	98
295	7375	0.407	3	18
295	7375	0.407	2	0
296	7400	0.41	5	98
296	7400	0.41	3	18
296	7400	0.41	2	0
297	7425	0.413	5	98
297	7425	0.413	3	18
297	7425	0.413	2	0
298	7450	0.416	5	98
298	7450	0.416	3	18
298	7450	0.416	2	0
299	7475	0.419	5	98
299	7475	0.419	3	18
